FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;ANCIEN_DIPLOME_1;ANCIEN_DIPLOME_2;ANCIEN_DIPLOME_3;ANCIEN_DIPLOME_4;ANCIEN_DIPLOME_5;ANCIEN_DIPLOME_6;ANCIEN_DIPLOME_7;NOUVEAU_DIPLOME_1;NOUVEAU_DIPLOME_2;NOUVEAU_DIPLOME_3;NOUVEAU_DIPLOME_4;NOUVEAU_DIPLOME_5;NOUVEAU_DIPLOME_6;NOUVEAU_DIPLOME_7;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;NB_MEF_OUVERT;NB_MEF_FERME;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DATE_SESSION_RATTRAPAGE;OBSERVATION;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
32021207;320;BREVET DE TECHNICIEN SUPERIEUR;212;PRODUCTIONS ANIMALES, ELEVAGE SPECIALIS.;W;COMMERCIALISATION;320130;BTS;TECHNICO-COMMERCIAL;TECHNICO-COMMERCIAL (BTSA);08/11/1990;31/08/1996;;;;;;;;;;;;;;;;1992;;01/01/1901;;;;;;;;;;;;;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN AGRI;10/12/2020;0;2;;999;INCONNU ou non précisé;;;;;;05;NIVEAU 5
37012003;370;CLASSE PREPARATOIRE AUX GRANDES ECOLES;120;SPEC.PLURIDISC.SCIENCES HUMAINES & DROIT;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;CPGE;ENS CACHAN_D3;ENS CACHAN : SECTION D3;01/01/1992;23/03/1995;;;;;;;;;;;;;;;;;;;23/03/1995;;;;;;;;;;;PROBLEME.;P;CLASSE PREPA;DGESIP A2;10/12/2020;0;2;;999;INCONNU ou non précisé;;.;;;;05;NIVEAU 5
47013018;470;BAC GENERAL;130;SPEC.LITTERAIR.& ARTISTIQ.PLURIVALENTES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;BAC GENE;LITTERAIRE ARTS;BAC GENERAL LITTERAIRE ARTS;01/09/1995;31/08/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;SPN;23/02/2023;0;0;;200;LETTRES ET ARTS;;;;0200;Lettres et arts;04;NIVEAU 4
46023099;460;AUTRES DIPLOMES DE NIVEAU IV;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;DIV-4;SPEC.PLURITECHNO, GENIE CIVIL, ..;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;01/09/1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;1;0;;582;Bâtiment et génie civil;;;;0732;Construction et génie civil;04;NIVEAU 4
46020099;460;AUTRES DIPLOMES DE NIVEAU IV;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;DIV-4;TECHNO.INDUSTRIELL.FONDAMENTALES;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;01/09/1996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;1;0;;500;INGENIERIE, INDUSTRIE DE TRANSFORMATION ET DE PRODUCTION;;;;0700;Ingénierie, industries de transformation et construction;04;NIVEAU 4
32022999;320;BREVET DE TECHNICIEN SUPERIEUR;229;DO22 : TRANSFORMATIONS;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BTS;SPECIALIT.NON SPECIF.DU DOMAIN.22;SPECIALITE NON SPECIFIEE DU DOMAINE : 22;01/01/1992;31/08/2004;;;;;;;;;;;;;;;;;;01/01/1992;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;0;1;;999;INCONNU ou non précisé;;;;;;05;NIVEAU 5
55022699;550;SES/SEGPA 3EME A 6EME ANNEE;226;PAPIER, CARTON;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;PAPIER, CARTON;PAPIER, CARTON;01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
55022399;550;SES/SEGPA 3EME A 6EME ANNEE;223;METALLURGIE (Y.C. SIDERURGIE, FONDERIE);M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;SES 3 A 6;METALLURGIE (Y.C. SIDERURGIE, ..);METALLURGIE (Y.C. SIDERURGIE, FONDERIE);01/09/1996;31/08/2002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DGESCO A1-2;10/12/2020;0;4;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
50024003;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;240;SPECIALIT.PLURITECHNO MATERIAUX SOUPLES;S;PRODUCTION;502210;CAP;MECANICIENNE APPRETEUSE SANDALES;MECANICIENNE APPRETEUSE EN SANDALES;;31/08/2000;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;EXAMEN DEPARTEMENTAL OU EQUIVALENT. DF 2000 PAR SPN;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);NON DEFINI;10/12/2020;0;0;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
37011016;370;CLASSE PREPARATOIRE AUX GRANDES ECOLES;110;SPECIALITES PLURISCIENTIFIQUES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;CPGE;MARINE MARCHANDE;PREPARATION MARINE MARCHANDE;01/01/1992;31/08/2018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;P;CLASSE PREPA;DGESIP A2;10/12/2020;0;1;;400;SCIENCES;;;;0500;Sciences naturelles, mathématiques et statistiques;05;NIVEAU 5
37010099;370;CLASSE PREPARATOIRE AUX GRANDES ECOLES;100;FORMATIONS GENERALES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;CPGE;CPGE FORMATION GENERALE;CLASSE PREPARATOIRE AUX GRANDES ECOLES (FORMATION GENERALE);01/01/1992;;;;;;;;;;;;;;;;;;;01/01/1992;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;0;0;;999;INCONNU ou non précisé;;;;9999;Inconnu;05;NIVEAU 5
50020999;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;209;DO20 : SPEC.PLURI-TECHNO DE PRODUCTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);503699;CAP;SPECIALIT.NON SPECIF.DU DOMAIN.20;SPECIALITE NON SPECIFIEE DU DOMAINE : 20;;31/08/2004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;10/12/2020;0;6;;999;INCONNU ou non précisé;;;;;;03;NIVEAU 3
51024304;510;BREVET D'ETUDES PROFESSIONNELLES;243;CUIRS ET PEAUX;S;PRODUCTION;;BEP;METIERS CUIR OPT.SELLERIE.GARNIS.;METIERS DU CUIR OPTION SELLERIE GARNISSAGE (BEP);01/09/2016;31/08/2021;;;;;;;;;;;;;;;;2017;2021;10/10/2016;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;542;Textile, vêtement,chaussure et cuir;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0723;Textiles (vêtements, chaussures et cuir);03;NIVEAU 3
51033002;510;BREVET D'ETUDES PROFESSIONNELLES;330;SPECIALITES PLURIV.SANITAIRES & SOCIALES;T;REALISATION DU SERVICE;513708;BEP;CARRIERES SANITAIRES ET SOCIALES;CARRIERES SANITAIRES ET SOCIALES (BEP);19/08/1993;31/08/2013;5103300;;;;;;;51033003;;;;;;;N;1995;2012;19/08/1993;18/08/2011;15/06/2001;;;;;;;;;;A REMPLACE LE BEP PREPARATOIRE AUX CARRIERES SANITAIRES & SOCIALES (51033001T). REMPLACE PAR LE BEP ACCOMPAGNEMENT, SOINS & SERVICES A LA PERSONNE (51033003T).;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;10/12/2020;0;3;;700;SANTE ET PROTECTION SOCIALE;2013;Grille horaire n°7 CSS.;;;;03;NIVEAU 3
51025513;510;BREVET D'ETUDES PROFESSIONNELLES;255;ELECTRICITE, ELECTRONIQUE;S;PRODUCTION;;BEP;SYSTEMES NUMERIQUES;SYSTEMES NUMERIQUES (BEP);01/09/2017;31/08/2021;51025512;;;;;;;;;;;;;;;2018;2021;22/06/2016;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;522;Electricité et énergie;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0713;Électricité et énergie;03;NIVEAU 3
51322104;513;BREVET D'ETUDES PROFESSIONNELLES AGRICOLES;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;S;PRODUCTION;;BEPA;ALIMENTATION BIO INDUST;ALIMENTATION BIO INDUSTRIES (BEPA);01/09/2009;31/08/2021;;;;;;;;;;;;;;;;2010;2021;17/07/2009;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;MAP DGER MISSI;04/05/2021;0;0;;541;Traitement des produits alimentaires;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0721;Traitement des aliments;03;NIVEAU 3
51322103;513;BREVET D'ETUDES PROFESSIONNELLES AGRICOLES;221;AGRO-ALIMENTAIRE, ALIMENTATION, CUISINE;R;CONTROLE PREVENTION ENTRETIEN;;BEPA;TRAVAUX DE LABORATOIRE;TRAVAUX DE LABORATOIRE (BEPA);01/09/2009;31/08/2021;;;;;;;;;;;;;;;;2010;2021;17/07/2009;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;MAP DGER MISSI;04/05/2021;0;0;;541;Traitement des produits alimentaires;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0721;Traitement des aliments;03;NIVEAU 3
32321111;323;BREVET DE TECHNICIEN SUPERIEUR AGRICOLE;211;PRODUCTIONS VEGETALES, CULTUR.SPECIALIS.;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BTSA;PRODUCTION HORTICOLE;PRODUCTION HORTICOLE (BTSA);01/09/2004;31/08/2024;;;;;;;;;;;;;;;;2006;;14/06/2004;;;;;;;;;;;;;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;;11/01/2023;0;3;;622;Horticulture;;;;0812;Horticulture;05;NIVEAU 5
47010099;470;BAC GENERAL;100;FORMATIONS GENERALES;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;BAC GENE;2NDE G&T;2NDE GENERALE ET TECHNO;01/09/1992;;;;;;;;;;;;;;;;N;;;;;;;;;;;;;;;;S;GROUPEMENT STATISTIQUE;DEP B3;23/02/2023;0;0;;999;INCONNU ou non précisé;;;;9999;Inconnu;04;NIVEAU 4
93213608;932;DIPLOME D'ETUDES EN LANGUE FRANCAISE;136;LANGUES VIVANTES, CIVILISATIONS ETRANG.;A;AUTRE/NON INDIQUE (DOMAINE DISCIPLINAIR);;DELF;DELF B2;DIPLOME D'ETUDES EN LANGUE FRANCAISE NIVEAU B2;01/09/2021;;93213604;;;;;;;;;;;;;;;2021;;29/09/2020;;13/06/2023;;;;;;;;;;;0;NON SPECIFIEE;;21/06/2023;0;0;;;;;;;;;99;INDETERMINE
50021302;500;CERTIFICAT D'APTITUDE PROFESSIONNELLE;213;FORETS, ESPACES NATURELS, FAUNE, PECHE;U;CONDUITE SURVEILLANCE DE MACHINES;502402;CAP;CONDUCTEUR D'ENGINS FORESTIERS;CONDUCTEUR D'ENGINS FORESTIERS (CAP);;31/08/1993;;;;;;;;;;;;;;;;;;01/01/1901;;;;;;;;;;;;VIEUX DIPLOME CAP OU CAPA. VIENT DU RECME. FERME PAR SPN;L;DIPLOME LOCAL (DEPARTEMENTAL TOM ..);SPN AGRI;10/12/2020;0;0;;623;Sylviculture;;;;;;03;NIVEAU 3
51033404;510;BREVET D'ETUDES PROFESSIONNELLES;334;ACCUEIL, HOTELLERIE, TOURISME;T;REALISATION DU SERVICE;;BEP;RESTAURATION OP.COMMERCIAL.& SERV;RESTAURATION OPTION COMMERCIALISATION ET SERVICES EN RESTAURATION (BEP);01/09/2012;31/08/2021;51033403;;;;;;;;;;;;;;;2013;2021;18/08/2011;20/10/2020;20/08/2012;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;811;Hôtellerie et services de restauration;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;1013;Hôtellerie et services de restauration;03;NIVEAU 3
51033003;510;BREVET D'ETUDES PROFESSIONNELLES;330;SPECIALITES PLURIV.SANITAIRES & SOCIALES;T;REALISATION DU SERVICE;;BEP;ACCOMP. SOINS ET SERVIC. PERSONNE;ACCOMPAGNEMENT, SOINS ET SERVICES A LA PERSONNE (BEP);01/09/2012;31/08/2021;51033002;;;;;;;;;;;;;;;2013;2021;18/08/2011;20/10/2020;20/08/2012;22/05/2013;03/11/2016;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;723;Soins infirmiers;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;octobre 2014 : renseignement colonne CITE_DOMAINE_FORMATION;0913;Soins infirmiers et formation de sages femmes;03;NIVEAU 3
51032404;510;BREVET D'ETUDES PROFESSIONNELLES;324;SECRETARIAT, BUREAUTIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BEP;METIERS  SERVICES ADMINISTRATIFS;METIERS DES SERVICES ADMINISTRATIFS (BEP);01/09/2010;31/08/2021;51031401;51032403;;;;;;;;;;;;;;2011;2021;30/07/2009;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;345;Gestion et administration;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0413;Gestion et administration;03;NIVEAU 3
51032303;510;BREVET D'ETUDES PROFESSIONNELLES;323;TECHNIQUES DE IMAGE, SON, SPECTACLE;T;REALISATION DU SERVICE;;BEP;PHOTOGRAPHIE;PHOTOGRAPHIE (BEP);01/09/2013;31/08/2021;;;;;;;;;;;;;;;;2014;2021;05/03/2013;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;213;Techniques audiovisuelles et production média;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0211;Techniques audiovisuelles et production multimédia;03;NIVEAU 3
51032302;510;BREVET D'ETUDES PROFESSIONNELLES;323;TECHNIQUES DE IMAGE, SON, SPECTACLE;V;PRODUCTION A CARACTERE ARTISTIQUE;;BEP;MET.ART-ELABO.PRJTS COMM.VISUELLE;METIERS D'ART-ELABORATION DE PROJETS DE COMMUNICATION VISUELLE (BEP);01/09/2012;31/08/2021;;;;;;;;;;;;;;;;2013;2021;05/07/2011;20/10/2020;20/08/2012;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;213;Techniques audiovisuelles et production média;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0211;Techniques audiovisuelles et production multimédia;03;NIVEAU 3
51032208;510;BREVET D'ETUDES PROFESSIONNELLES;322;TECHNIQUES D'IMPRIMERIE ET D'EDITION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BEP;REAL.PROD.IMPR.PLUR.OPT.PR.IMPR.;REALISATION DE PRODUITS IMPRIMES ET PLURIMEDIA OPTION B PRODUCTIONS IMPRIMEES (BEP);01/09/2015;31/08/2021;51032205;;;;;;;;;;;;;;;2016;2021;23/07/2014;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;213;Techniques audiovisuelles et production média;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0211;Techniques audiovisuelles et production multimédia;03;NIVEAU 3
51032207;510;BREVET D'ETUDES PROFESSIONNELLES;322;TECHNIQUES D'IMPRIMERIE ET D'EDITION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;BEP;REAL.PROD.IMPR.PLUR.OPT.PR.GRAPH.;REALISATION DE PRODUITS IMPRIMES ET PLURIMEDIA OPTION A PRODUCTIONS GRAPHIQUES (BEP);01/09/2015;31/08/2021;51032204;;;;;;;;;;;;;;;2016;2021;23/07/2014;20/10/2020;;;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;213;Techniques audiovisuelles et production média;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0211;Techniques audiovisuelles et production multimédia;03;NIVEAU 3
51032206;510;BREVET D'ETUDES PROFESSIONNELLES;322;TECHNIQUES D'IMPRIMERIE ET D'EDITION;S;PRODUCTION;;BEP;IND.GRAPH. OPT.FACON.PDT IMP.ROUT;INDUSTRIES GRAPHIQUES OPTION C FACONNAGE DE PRODUITS IMPRIMES, ROUTAGE (BEP);01/09/2011;31/08/2021;;;;;;;;;;;;;;;;2013;2021;07/04/2011;20/10/2020;17/06/2011;12/07/2011;;;;;;;;;Fermeture BEP* - demande DGESCO B22 ;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DGESCO A2-3;04/05/2021;0;0;;213;Techniques audiovisuelles et production média;;Remplacé progressivement par l'attestation de réussite intermédiaire en bac pro, en fin de 1ère professionnelle;;0211;Techniques audiovisuelles et production multimédia;03;NIVEAU 3
