FORMATION_DIPLOME;NIVEAU_FORMATION_DIPLOME;N_NIVEAU_FORMATION_DIPLOME.LIBELLE_100;GROUPE_SPECIALITE;N_GROUPE_SPECIALITE.LIBELLE_LONG;LETTRE_SPECIALITE;N_LETTRE_SPECIALITE.LIBELLE_LONG;ANCIEN_RECME;LIBELLE_COURT;LIBELLE_STAT_33;LIBELLE_LONG_200;DATE_OUVERTURE;DATE_FERMETURE;UNITE_CAPITALISABLE;DATE_PREMIERE_SESSION;DATE_DERNIERE_SESSION;DATE_ARRETE_CREATION;DATE_ARRETE_ABROGATION;DATE_ARRETE_MODIFICATION_1;DATE_ARRETE_MODIFICATION_2;DATE_ARRETE_MODIFICATION_3;DATE_ARRETE_MODIFICATION_4;DATE_ARRETE_MODIFICATION_5;DATE_ARRETE_MODIFICATION_6;DATE_ARRETE_MODIFICATION_7;DATE_ARRETE_MODIFICATION_8;DATE_ARRETE_MODIFICATION_9;DATE_ARRETE_MODIFICATION_10;COMMENTAIRE;NATURE_FORMATION_DIPLOME;N_NATURE_FORMATION_DIPLOME.LIBELLE_100;GESTIONNAIRE_FORMATION_DIPLOME;DATE_INTERVENTION;ID_DOCUMENT;CITE_DOMAINE_FORMATION;N_CITE_DOMAINE_FORMATION.LIBELLE_EDITION;DIPLOME_SISE;N_DIPLOME_SISE.LIBELLE_INTITULE_1;HABILITATION_ORIGINE;NUMERO_UAI;N_COMMENTAIRE;CITE_DOMAINE_DETAILLE;N_CITE_2013_DOMAINE_DETAILL.LIBELLE_EDITION;NIVEAU_QUALIFICATION_RNCP;N_NIVEAU_QUALIFICATION_RNCP.LIBELLE_LONG
17022704;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;227;ENERGIE, GENIE CLIMATIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;ING;GENIE ENERGETIQUE;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE ENERGETIQUE;01/09/2013;31/08/2026;;;;;;;;;;;;;;;;rncp 21923;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;522;Electricit� et �nergie;;;;0760165S;;0713;�lectricit� et �nergie;07;NIVEAU 7
17020034;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;ING;GENIE INDUSTRIEL INSA ROUEN;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE INDUSTRIEL;01/09/2014;31/08/2026;;;;;;;;;;;;;;;;rncp 21684;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;520;Ing�nierie et techniques apparent�es;6000895;INGENIEUR DIPLOME DE L'INSTITUT NATIONAL DES SCIENCES APPLIQUEES DE ROUEN, SPECIALITE GENIE INDUSTRIEL, EN CONVENTION AVEC LE CESI;;0760165S;;0710;Ing�nierie et techniques apparent�es;07;NIVEAU 7
17032621;170;INGENIEURS RECONNUS (RCT..), NFI , ALTERNANCE;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;ING;MINES TELECOM RSX TELECOMMUNICATI;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE MINES-TELECOM ATLANTIQUE BRETAGNE PAYS DE LA LOIRE DE L'INSTITUT MINES-TELECOM SPECIALITE RESEAUX ET TELECOMMUNICATION;01/09/2019;31/08/2021;;;;;;;;;;;;;;;;deja code 1703260G;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;12/07/2021;;481;Sciences informatiques;6001076;INGENIEUR DIPLOME DE L'ECOLE NATIONALE SUPERIEURE MINES-TELECOM ATLANTIQUE BRETAGNE PAYS DE LA LOIRE DE L'INSTITUT MINES-TELECOM;;0292355C;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
36X32409;36X;TH DE NIV 3 ORGANISMES GESTIONNAIRES DIVERS;324;SECRETARIAT, BUREAUTIQUE;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH3-X;ASSISTANT JURIDIQUE;ASSISTANT JURIDIQUE (IFOCOP);01/09/2021;31/08/2027;;;;;25/04/2027;;;;;;;;;;;rncp 36412;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;10/06/2022;;345;Gestion et administration;;;;0941870X;;0415;Travail de secr�tariat et de bureau;05;NIVEAU 5
36T23004;36T;TH DE NIV 3 MINISTERE DU TRAVAIL - AFPA;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;N;CONCEPTION;;TH3-T;COORDINATEUR BIM BATIMENT;COORDINATEUR BIM DU BATIMENT (TP);01/09/2019;31/08/2021;;;;12/07/2019;30/09/2024;;;;;;;;;;;erreur niveau code voir le 26T23001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;24/08/2021;;582;B�timent et g�nie civil;;;;;;0732;Construction et g�nie civil;05;NIVEAU 5
46T25101;46T;TH DE NIV 4 MINISTERE DU TRAVAIL - AFPA;251;MECANIQ.GENERALE & DE PRECISION, USINAGE;U;CONDUITE SURVEILLANCE DE MACHINES;;TH4-T;TECH USINAGE ASSIST PAR ORDINATEU;TECHNICIEN EN USINAGE ASSISTE PAR ORDINATEUR (TP);01/09/2016;31/08/2025;;;;;08/12/2025;;;;;;;;;;;rncp 35182;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;;12/07/2021;;521;M�canique et travail du m�tal;;;;;;0715;M�canique et techniques apparent�es;04;NIVEAU 4
26T23001;26T;TH DE NIV 2 MINISTERE DU TRAVAIL - AFPA;230;SPEC.PLURITECHNO, GENIE CIVIL, CONSTRUC.;N;CONCEPTION;;TH2-T;COORDINATEUR BIM BATIMENT;COORDINATEUR BIM DU BATIMENT (TP);01/09/2019;31/08/2024;;;;;30/09/2024;;;;;;;;;;;rncp 34280;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;24/08/2021;;582;B�timent et g�nie civil;;;;;;0732;Construction et g�nie civil;06;NIVEAU 6
26031033;260;AUTRES DIPLOMES DE NIVEAU II;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;DIP2;DIP SUP EN MARK CCE GESTION;DIPLOME SUPERIEUR EN MARKETING, COMMERCE ET GESTION DE L'EGC CENTRE EST;01/09/2020;31/08/2025;;;;;;;;;;;;;;;;rncp 35574;1;DIPLOME NATIONAL / DIPLOME D'ETAT;DEPPA1;09/02/2022;;340;Commerce et administration;M000184;DIPLOME SUPERIEUR EN MARKETING, COMMERCE ET GESTION DE L'EGC CENTRE EST;;0011402U;;0413;Gestion et administration;06;NIVEAU 6
36X32608;36X;TH DE NIV 3 ORGANISMES GESTIONNAIRES DIVERS;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;T;REALISATION DU SERVICE;;TH3-X;ANALYSTE-PROGRAMMEUR;ANALYSTE-PROGRAMMEUR (CESI);01/09/2019;31/08/2021;;;;;04/01/2020;;;;;;;;;;;rncp 13659 remplace par le 36X32613;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;13/07/2021;;481;Sciences informatiques;;;;0755372G;;0612;Conception et administration de bases de donn�es et de r�seau;05;NIVEAU 5
36X3130A;36X;TH DE NIV 3 ORGANISMES GESTIONNAIRES DIVERS;313;FINANCES, BANQUE, ASSURANCES;W;COMMERCIALISATION;;TH3-X;CONSEILLER EN ASSURANCE;CONSEILLER EN ASSURANCE (IFPASS);05/08/1996;31/08/2024;;;;;08/07/2024;;;;;;;;;;;rncp 35727;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN DEP B4;13/07/2021;;343;Finance, banque, assurance;;;;;;0412;Finance, banque et assurances;05;NIVEAU 5
46M25501;46M;TH DE NIV 4 DES CHAMBRES DE METIERS;255;ELECTRICITE, ELECTRONIQUE;S;PRODUCTION;;BTM;INSTALLATEUR EQUIPEMENT ELECTRIQ;INSTALLATEUR EN EQUIPEMENTS ELECTRIQUES (BTM APCMA);01/09/2006;31/08/2026;;;;;19/04/2026;;;;;;;;;;;rncp 35532;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;SPN DEPPA1;13/07/2021;;522;Electricit� et �nergie;;;;;;0713;�lectricit� et �nergie;04;NIVEAU 4
16X32661;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;326;INFORMATIQUE, TRAITEMT DE L'INFORMATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;EXPERT EN CYBERSECURITE;EXPERT EN CYBERSECURITE (UTT);01/09/2021;31/08/2024;;;;;15/12/2024;;;;;;;;;;;rncp 36072;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;13/04/2022;;481;Sciences informatiques;;;;0101060Y;;0612;Conception et administration de bases de donn�es et de r�seau;07;NIVEAU 7
16C31203;16C;TH DE NIV 1 DES CCI ET MINISTERE COMMERCE ARTISANAT PME;312;COMMERCE, VENTE;P;ORGANISATION GESTION;;TH1-C;MANAGER DVPT AFFAIRES INTERNAT;MANAGER DU DEVELOPPEMENT D'AFFAIRES A L'INTERNATIONAL (CCI FRANCE);01/09/2016;31/08/2027;;;;;25/04/2027;;;;;;;;;;;rncp 36368;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;30/04/2022;;341;Vente en gros et au d�tail;;;;;;0416;Vente en gros et au d�tail;07;NIVEAU 7
16X31009;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;MANAGER STRATEGIE DEVELOPPEMENT;MANAGER EN STRATEGIE ET DEVELOPPEMENT (INOV);01/09/2016;31/08/2022;;;;26/09/2016;04/10/2020;;;;;;;;;;;rncp 29439;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;13/07/2021;;345;Gestion et administration;;;;;;0413;Gestion et administration;07;NIVEAU 7
16X31051;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;P;ORGANISATION GESTION;;TH1-X;INGENIEUR D'AFFAIRES;INGENIEUR D'AFFAIRES (C3 INSTITUTE);01/09/2015;31/08/2024;;;;;08/07/2024;;;;;;;;;;;rncp 35760;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;13/07/2021;;345;Gestion et administration;;;;0922594V;;0413;Gestion et administration;07;NIVEAU 7
36T32201;36T;TH DE NIV 3 MINISTERE DU TRAVAIL - AFPA;322;TECHNIQUES D'IMPRIMERIE ET D'EDITION;T;REALISATION DU SERVICE;;TH3-T;DESIGNER WEB;DESIGNER WEB (TP);01/09/2009;31/08/2022;;;;;13/07/2021;;;;;;;;;;;rncp 26602 serait remplace par le 26T32001;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;28/07/2021;;213;Techniques audiovisuelles et production m�dia;;;;;;0211;Techniques audiovisuelles et production multim�dia;05;NIVEAU 5
16X31034;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;MANAG E-BUSINESS MARKTING DIGITAL;MANAGER E-BUSINESS ET MARKETING DIGITAL (KEDGE BUSINESS SCOOL);01/09/2019;31/08/2022;;;;;21/07/2021;;;;;;;;;;;rncp 31036;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;13/07/2021;;345;Gestion et administration;;;;0333326L;;0413;Gestion et administration;07;NIVEAU 7
16X12806;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;128;DROIT, SCIENCES POLITIQUES;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;JURISTE MANAGER DES AFFAIRES;JURISTE MANAGER DES AFFAIRES (MS TBS);01/09/2021;31/08/2026;;;;;25/01/2026;;;;;;;;;;;rncp 37289;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;25/02/2023;;380;Droit;;;;0310156B;;0421;Droit;07;NIVEAU 7
16C32001;16C;TH DE NIV 1 DES CCI ET MINISTERE COMMERCE ARTISANAT PME;320;SPECIALITES PLURIVAL.DE LA COMMUNICATION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-C;MANAG DESIGN PDTS SERV NUMERIQUES;MANAGER/DESIGNER DE PRODUITS ET SERVICES NUMERIQUES (GOBELINS - CCI PARIS ILE DE FRANCE);01/09/2015;31/08/2026;;;;;15/09/2026;;;;;;;;;;;rncp 35864;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/05/2022;;480;Informatique;;;;0754969U;;0610;Technologies de l'information et de la communication (TIC);07;NIVEAU 7
26X31104;26X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;311;TRANSPORT, MANUTENTION, MAGASINAGE;N;CONCEPTION;;TH2-X;DECLARANT EN DOUANE CONSEIL;DECLARANT(E) EN DOUANE ET CONSEIL (AFTRAL);01/09/2015;31/08/2025;;;;;18/11/2024;;;;;;;;;;;rncp 34330;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;29/03/2022;;840;Services de transport;;;;0756163S;;1041;Services de transport;06;NIVEAU 6
26X31103;26X;TH DE NIV 2 ORGANISMES GESTIONNAIRES DIVERS;311;TRANSPORT, MANUTENTION, MAGASINAGE;N;CONCEPTION;;TH2-X;RESPONSB PN TRANSPORT DE PERSONNE;RESPONSABLE DE PRODUCTION TRANSPORT DE PERSONNE (AFTRAL);01/09/2015;31/08/2024;;;;;10/09/2024;;;;;;;;;;;rncp 34187;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;29/03/2022;;840;Services de transport;;;;0756163S;;1041;Services de transport;06;NIVEAU 6
16X31016;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;N;CONCEPTION;;TH1-X;CONSULTANT EN MANAGEMT DE PROJETS;CONSULTANT EN MANAGEMENT DE PROJETS (ESPL);01/09/2019;31/08/2025;;;;;26/01/2025;;;;;;;;;;;rncp 36148;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;12/05/2022;;345;Gestion et administration;;;;0492064C;;0413;Gestion et administration;07;NIVEAU 7
16X31041;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;P;ORGANISATION GESTION;;TH1-X;MANAGER EN DEVELOPPEMENT DURABLE;MANAGER EN DEVELOPPEMENT DURABLE (KLM - ISEAM);01/09/2020;31/08/2024;;;;;25/02/2024;;;;;;;;;;;rncp 36194;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;25/05/2022;;345;Gestion et administration;;;;0772667F;;0413;Gestion et administration;07;NIVEAU 7
16X34301;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;343;NETTOYAGE, ASSAIN., PROTECTION ENVIRONMT;N;CONCEPTION;;TH1-X;MANAGE INGIE DROIT ENVIRONNEMENT;MANAGER EN INGENIERIE ET DROIT DE L'ENVIRONNEMENT (ISE);01/09/2017;31/08/2025;;;;;01/06/2025;;;;;;;;;;;rncp 36489;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;10/06/2022;;850;Protection de l'environnement;;;;0783363G;;0521;Sciences environnementales;07;NIVEAU 7
36X31406;36X;TH DE NIV 3 ORGANISMES GESTIONNAIRES DIVERS;314;COMPTABILITE, GESTION;T;REALISATION DU SERVICE;;TH3-X;ASSISTANT DE GESTION;ASSISTANT DE GESTION (IFOCOP);01/09/2021;31/08/2027;;;;;01/06/2027;;;;;;;;;;;rncp 36523;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;10/06/2022;;344;Comptabilit� et fiscalit�;;;;0941870X;;0411;Comptabilit� et fiscalit�;05;NIVEAU 5
16X20005;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;200;TECHNOLOGIES INDUSTRIELLES FONDAMENTALES;R;CONTROLE PREVENTION ENTRETIEN;;TH1-X;MANAGER QSE;MANAGER QUALITE SECURITE ENVIRONNEMENT (CY CERGY PARIS UNIVERSITE);01/09/2020;31/08/2027;;;;;07/06/2021;;;;;;;;;;;rncp 36851;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;17/01/2023;;862;Sant� et s�curit� du travail;;;;0952259P;;1022;Sant� et s�curit� au travail;07;NIVEAU 7
16X31004;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;P;ORGANISATION GESTION;;TH1-X;MANAGER D'UNITE OPERATIONNELLE;MANAGER OPERATIONNEL D'ACTIVITES (ASCENCIA);01/09/2014;31/08/2024;;;;;09/05/2024;;;;;;;;;;;rncp 35585;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;16/06/2023;;341;Vente en gros et au d�tail;;;;0772748U;;0416;Vente en gros et au d�tail;07;NIVEAU 7
16X31241;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;312;COMMERCE, VENTE;P;ORGANISATION GESTION;;TH1-X;MANAGER DU DEVELOPT INTERNATIONAL;MANAGER DU DEVELOPPEMENT INTERNATIONAL (INSEEC);01/09/2021;31/08/2025;;;;;01/06/2025;;;;;;;;;;;rncp 36492 remplace le 16X31020 avec le 16X31057;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;21/01/2023;;340;Commerce et administration;;;;;;0410;Commerce et administration;07;NIVEAU 7
16X31031;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;M;AUTRE/NON INDIQUE (DOMAINE TECHNICO-PRO);;TH1-X;MANAG AFF ENERGIE TRANSITION ENER;MANAGER D'AFFAIRES DANS L'ENERGIE ET LA TRANSITION ENERGETIQUE (MS GRENOBLE EM INP);01/09/2020;31/08/2027;;;;;25/02/2027;;;;;;;;;;;rncp 36229;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;02/03/2023;;345;Gestion et administration;;;;0382778N;;0413;Gestion et administration;07;NIVEAU 7
16X31001;16X;TH DE NIV 1 ORGANISMES GESTIONNAIRES DIVERS;310;SPECIALIT.PLURIV.DES ECHANGES & GESTION;P;ORGANISATION GESTION;;TH1-X;MANAGER CCE CENTRE PROFIT;MANAGER DE COMMERCE ET DE CENTRE DE PROFIT (IFAG);01/09/2011;31/08/2026;;;;;31/05/2023;;;;;;;;;;;rncp 37635 remplace le 26C3100B;2;TITRE PROFESSIONNEL HOMOLOGUE OU CERTIFIE;DEPPA1;09/06/2023;;345;Gestion et administration;;;;0692955M;;0413;Gestion et administration;07;NIVEAU 7
